roomType_keyitem,roomType_bosskey,roomType_s,roomType_b,roomType_k,roomType_l,roomType_p,itemLockedFromNeighbors,distanceOfRoomToOptimalPath,passableFromNeighbors,doorGoTo_keyitem,doorGoTo_bosskey,doorGoTo_s,doorGoTo_b,doorGoTo_k,doorGoTo_l,doorGoTo_p,doorsOnPath,puzzleRoomsInLevel,puzzleLockedDoorsOnPath,itemLockedDoorsInLevel,softLockedToNeighbors,passableDoorsInLevel,doorsToNeighbors,pathLength,bombLockedFromNeighbors,doorTypesFrom_keyitem,doorTypesFrom_bosskey,doorTypesFrom_s,doorTypesFrom_b,doorTypesFrom_k,doorTypesFrom_l,doorTypesFrom_p,bigKeyDoorsInLevel,puzzleNeighbors,bombLockedToNeighbors,distanceToSpecialItem,crossings,pureDepth,oneWayLockedFromNeighbors,lockedDoorsOnPath,bigKeyLockedDoorsOnPath,softLockedDoorsOnPath,bigKeyLockedFromNeighbors,puzzleLockedDoorsInLevel,lockedFromNeighbors,lookAheadsInLevel,puzzleLockedToNeighbors,oneWayLockedToNeighbors,itemRoomsInLevel,enemyRoomsOnPath,doorTypesTo_keyitem,doorTypesTo_bosskey,doorTypesTo_s,doorTypesTo_b,doorTypesTo_k,doorTypesTo_l,doorTypesTo_p,maximumDistanceToPath,distanceToDungeonKey,lockedToNeighbors,lockedDoorsInLevel,bombLockedDoorsOnPath,totalCrossings,itemLockedToNeighbors,roomsOnPath,puzzleLockedFromNeighbors,itemLockedDoorsOnPath,doorCameFrom_keyitem,doorCameFrom_bosskey,doorCameFrom_s,doorCameFrom_b,doorCameFrom_k,doorCameFrom_l,doorCameFrom_p,softLockedDoorsInLevel,oneWayDoorsOnPath,lookAheadsOnPath,puzzleRoomsOnPath,numberOfNeighbors,bigKeyLockedToNeighbors,roomCameFrom_keyitem,roomCameFrom_bosskey,roomCameFrom_s,roomCameFrom_b,roomCameFrom_k,roomCameFrom_l,roomCameFrom_p,doorsInLevel,itemRoomsOnPath,oneWayDoorsInLevel,roomGoTo_keyitem,roomGoTo_bosskey,roomGoTo_s,roomGoTo_b,roomGoTo_k,roomGoTo_l,roomGoTo_p,itemNeighbors,bombLockedDoorsInLevel,passableToNeighbors,enemyRoomsInLevel,maximumCrossings,depth,softLockedFromNeighbors,lookAheadToNeighbors,roomsInLevel,enemyNeighbors,lookAheadFromNeighbors
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,8,0,0,0,0,1,19,0,0,0,0,0,0,0,0,2,1,0,13,1,0,0,3,1,1,0,0,0,2,0,0,6,7,0,0,0,0,0,0,0,1,6,0,5,0,19,0,12,0,0,0,0,0,0,0,0,0,2,4,2,6,1,0,0,0,0,0,0,0,0,34,6,5,0,0,0,0,0,0,1,1,0,1,9,3,0,0,0,14,1,0
0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,29,8,0,0,0,0,6,19,0,0,0,0,0,2,0,0,2,4,0,13,3,1,0,3,1,1,0,0,2,2,0,0,6,7,0,0,0,0,2,0,0,1,6,2,5,0,19,0,12,0,0,0,0,0,0,0,0,0,2,4,2,6,6,0,0,0,1,0,0,0,0,34,6,5,0,0,0,0,0,0,0,1,0,4,9,3,1,0,0,14,3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29,8,0,0,1,0,2,19,0,0,0,0,0,1,1,0,2,2,0,13,2,2,0,3,1,1,0,0,1,2,0,0,6,7,0,0,0,0,1,1,0,1,6,1,5,0,19,0,12,0,0,0,0,0,0,1,0,0,2,4,2,6,2,0,0,0,0,0,0,0,1,34,6,5,0,0,0,0,0,0,1,1,0,0,9,3,4,1,0,14,2,0
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,29,8,0,0,0,0,2,19,0,0,0,0,0,0,0,0,2,1,0,13,2,3,0,3,1,1,0,0,0,2,0,0,6,7,0,0,0,0,0,0,0,1,6,0,5,0,19,0,12,0,0,0,0,0,0,0,0,0,2,4,2,6,2,0,0,0,0,0,0,0,1,34,6,5,0,0,0,0,0,0,0,1,0,2,9,3,5,0,0,14,1,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,29,8,0,0,0,0,1,19,0,0,0,0,0,0,0,0,2,1,0,13,1,2,0,3,1,1,0,0,0,2,0,0,6,7,0,0,0,0,0,0,0,1,6,0,5,0,19,0,12,0,0,0,0,0,0,0,0,0,2,4,2,6,1,0,0,0,0,0,0,0,1,34,6,5,0,0,0,0,0,0,0,1,0,1,9,3,2,0,0,14,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,8,0,0,0,0,1,19,0,0,0,0,0,0,0,0,2,1,0,13,1,4,0,3,1,1,0,0,0,2,0,0,6,7,0,0,0,0,0,0,0,1,6,0,5,0,19,0,12,0,0,0,0,0,0,0,0,0,2,4,2,6,1,0,0,0,0,0,0,0,1,34,6,5,0,0,0,0,0,0,0,0,0,1,9,3,6,0,0,14,1,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,29,8,0,0,1,0,3,19,0,0,0,0,0,0,1,0,2,2,0,13,0,2,1,3,1,1,1,0,0,2,0,1,6,7,0,0,0,0,0,1,0,1,6,0,5,0,19,0,12,0,0,0,0,0,0,0,0,0,2,4,2,6,3,1,0,0,0,0,0,0,1,34,6,5,0,0,0,0,0,0,0,1,0,0,9,3,11,1,0,14,2,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,29,8,0,0,0,0,2,19,0,0,0,0,0,2,0,0,2,2,0,13,0,2,0,3,1,1,0,0,2,2,0,0,6,7,0,0,0,0,2,0,0,1,6,2,5,0,19,0,12,0,0,0,0,0,0,1,0,0,2,4,2,6,2,0,0,0,0,0,0,0,1,34,6,5,0,0,0,0,0,0,1,1,0,0,9,3,2,0,0,14,2,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,8,0,0,0,0,4,19,0,0,0,0,0,0,0,0,2,3,0,13,2,2,2,3,1,1,1,0,0,2,0,2,6,7,0,0,0,0,0,0,0,1,6,0,5,0,19,0,12,0,0,0,0,0,0,0,0,0,2,4,2,6,4,1,0,0,0,0,0,0,1,34,6,5,0,0,0,0,0,0,0,3,0,1,9,3,10,0,0,14,3,0
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,29,8,0,0,0,0,3,19,0,0,0,1,0,0,0,0,2,1,0,13,2,3,1,3,1,1,0,0,0,2,0,1,6,7,0,0,1,0,0,0,0,1,6,0,5,0,19,0,12,0,0,0,0,0,0,0,0,0,2,4,2,6,3,0,0,0,0,0,0,0,0,34,6,5,0,0,0,0,0,0,0,2,0,1,9,3,11,0,1,14,1,1
